                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    115,                  0.812,                0.50464,                0.89467,                0.64596,                0.37582,                 0.4079,                0.24791,                 1.6785,                 1.3265,                 1.4253,              0.0004797,              0.0004797,              0.0004797
                    116,                0.77941,                0.49101,                0.88542,                 0.5992,                0.36579,                0.39797,                0.24645,                 1.6673,                 1.2914,                 1.4023,             0.00047716,             0.00047716,             0.00047716
                    117,                0.78289,                0.48113,                0.88648,                0.53087,                0.40382,                0.39742,                0.24444,                 1.6314,                 1.2588,                 1.3846,             0.00047463,             0.00047463,             0.00047463
                    118,                0.77139,                 0.4901,                0.86858,                 0.5399,                 0.4109,                0.40616,                0.25074,                 1.6273,                 1.2614,                  1.388,             0.00047209,             0.00047209,             0.00047209
                    119,                0.72827,                0.45731,                0.86592,                0.54074,                0.39884,                0.40519,                0.25281,                 1.6145,                 1.2493,                 1.3849,             0.00046955,             0.00046955,             0.00046955
                    120,                0.69583,                0.44316,                 0.8458,                0.55734,                0.40705,                 0.4066,                0.24638,                 1.5906,                 1.2318,                 1.3723,             0.00046701,             0.00046701,             0.00046701
                    121,                0.77191,                0.47676,                0.88375,                0.57212,                0.39998,                0.40227,                0.24616,                  1.631,                 1.2816,                 1.3949,             0.00046448,             0.00046448,             0.00046448
                    122,                0.77535,                0.47212,                 0.8773,                0.57924,                0.40318,                0.40449,                0.24785,                 1.6253,                 1.2453,                 1.4072,             0.00046194,             0.00046194,             0.00046194
                    123,                0.76864,                 0.4794,                0.88651,                0.58736,                0.41307,                0.41875,                0.26364,                 1.6098,                 1.2322,                 1.4107,              0.0004594,              0.0004594,              0.0004594
                    124,                0.76777,                0.46928,                0.87058,                0.71273,                0.34527,                0.42256,                0.25746,                  1.683,                  1.263,                 1.4517,             0.00045686,             0.00045686,             0.00045686
                    125,                0.78055,                0.48194,                0.89516,                0.67271,                0.36983,                0.42895,                0.26863,                 1.6386,                 1.2697,                 1.4185,             0.00045433,             0.00045433,             0.00045433
                    126,                0.76044,                 0.4905,                0.88742,                0.60608,                  0.401,                0.42513,                0.27342,                 1.5728,                 1.3105,                 1.3774,             0.00045179,             0.00045179,             0.00045179
                    127,                0.78698,                0.50415,                0.88053,                0.58584,                0.37618,                0.40408,                0.25456,                 1.6764,                 1.3414,                 1.4335,             0.00044925,             0.00044925,             0.00044925
                    128,                0.79617,                0.48345,                0.89111,                0.58427,                0.37729,                0.42455,                0.25892,                 1.6352,                  1.315,                 1.4199,             0.00044671,             0.00044671,             0.00044671
                    129,                0.72814,                0.45636,                0.86263,                0.55587,                0.38848,                0.43267,                0.27135,                 1.5673,                 1.2844,                 1.3842,             0.00044417,             0.00044417,             0.00044417
                    130,                0.72276,                0.44876,                0.85812,                0.62246,                0.35095,                0.42391,                0.27321,                 1.5191,                 1.2304,                 1.3444,             0.00044164,             0.00044164,             0.00044164
                    131,                0.69046,                 0.4497,                0.86571,                 0.5693,                0.37754,                0.42103,                0.27344,                  1.526,                 1.2429,                 1.3363,              0.0004391,              0.0004391,              0.0004391
                    132,                0.70938,                0.44638,                0.85191,                0.56326,                0.38442,                0.41336,                0.25766,                 1.6078,                 1.2936,                 1.3667,             0.00043656,             0.00043656,             0.00043656
                    133,                0.73164,                0.45607,                0.86771,                0.53479,                0.37302,                0.41191,                0.24578,                  1.646,                 1.2915,                 1.3891,             0.00043402,             0.00043402,             0.00043402
                    134,                 0.7316,                0.45082,                 0.8667,                0.56187,                0.40055,                0.42176,                0.27024,                 1.5994,                 1.2796,                 1.3994,             0.00043149,             0.00043149,             0.00043149
                    135,                0.72063,                 0.4391,                0.85764,                0.59598,                0.39773,                0.43208,                0.27463,                 1.5739,                 1.2763,                 1.3907,             0.00042895,             0.00042895,             0.00042895
                    136,                0.72633,                0.45331,                0.86768,                0.54065,                0.38645,                0.42167,                0.26734,                 1.5776,                 1.2947,                 1.3864,             0.00042641,             0.00042641,             0.00042641
                    137,                0.71154,                0.43741,                0.85384,                0.53716,                 0.4055,                0.41632,                0.26969,                 1.5856,                 1.2932,                  1.408,             0.00042387,             0.00042387,             0.00042387
                    138,                0.76216,                0.46573,                0.85647,                0.52398,                 0.4162,                0.42539,                0.27827,                 1.6099,                 1.2913,                 1.4198,             0.00042134,             0.00042134,             0.00042134
                    139,                 0.7249,                 0.4518,                0.85832,                0.62819,                0.36003,                0.42732,                0.26938,                 1.6437,                 1.2828,                 1.4354,              0.0004188,              0.0004188,              0.0004188
                    140,                0.72471,                0.45094,                0.86541,                0.58777,                0.39129,                0.42614,                0.26853,                 1.6786,                 1.2843,                 1.4593,             0.00041626,             0.00041626,             0.00041626
                    141,                0.72664,                0.44799,                0.86764,                0.62119,                0.40974,                0.44309,                0.27962,                  1.627,                 1.2864,                 1.4223,             0.00041372,             0.00041372,             0.00041372
                    142,                0.70921,                0.43653,                0.84918,                0.59921,                0.39725,                0.43797,                0.27342,                 1.5996,                 1.2643,                 1.3783,             0.00041118,             0.00041118,             0.00041118
                    143,                0.72045,                 0.4506,                0.86747,                 0.6029,                0.39533,                0.43163,                0.26729,                 1.6132,                 1.2776,                 1.3776,             0.00040865,             0.00040865,             0.00040865
                    144,                0.68779,                0.43427,                  0.861,                0.67608,                0.35777,                0.41114,                0.26734,                 1.6146,                 1.2968,                 1.3865,             0.00040611,             0.00040611,             0.00040611
                    145,                0.72232,                0.44843,                  0.867,                0.66885,                0.35976,                0.41158,                0.27218,                 1.6264,                 1.3268,                 1.3942,             0.00040357,             0.00040357,             0.00040357
                    146,                0.71548,                 0.4435,                0.85833,                0.58349,                0.37807,                0.40759,                0.26636,                 1.7082,                 1.2794,                 1.4471,             0.00040103,             0.00040103,             0.00040103
                    147,                0.69431,                0.43537,                0.85837,                0.54422,                0.38081,                0.40697,                0.27064,                 1.6813,                 1.2693,                 1.4325,              0.0003985,              0.0003985,              0.0003985
                    148,                0.72273,                0.44775,                0.87068,                 0.6121,                0.36814,                  0.413,                0.27432,                 1.6727,                 1.2837,                 1.4255,             0.00039596,             0.00039596,             0.00039596
                    149,                    0.7,                0.43819,                0.86328,                0.65332,                0.36632,                0.41417,                0.27094,                 1.6851,                 1.3004,                 1.4325,             0.00039342,             0.00039342,             0.00039342
